Time,Temperature,Crime
337,55.939999,1265
338,62.060001,1364
339,68,1325
340,51.080002,1294
341,46.040001,1464
342,46.939999,1244
343,39.919998,1081
344,48.02,1269
345,48.02,1259
346,46.939999,1286
347,46.040001,1320
348,37.939999,1352
349,39.919998,1272
350,44.959999,1102
351,46.040001,1243
352,48.02,1238
353,41,1224
354,39.919998,1163
355,39.919998,1232
356,48.919998,1173
357,32,1084
358,21.02,893
359,21.92,681
360,17.959999,879
361,26.959999,1047
362,24.98,1074
363,19.040001,1059
364,19.940001,939
365,24.98,1673
366,30.92,1157
367,28.040001,1105
368,37.939999,1139
369,35.060001,1089
370,35.060001,1025
371,28.040001,1153
372,41,1227
373,55.040001,1306
374,44.060001,1366
375,42.98,1324
376,41,1323
377,42.080002,1180
378,39.919998,1181
379,33.98,1328
380,33.080002,1253
381,24.98,1102
382,19.940001,1225
383,28.940001,1164
384,35.959999,1106
385,35.959999,1067
386,55.040001,1247
387,48.02,1232
388,39.919998,1283
389,50,1376
390,53.060001,1359
391,59,1257
392,46.939999,1259
393,35.959999,1179
394,33.98,1056
395,33.98,972
396,33.98,1313
397,33.080002,1204
398,35.060001,1028
399,24.08,1057
400,30.02,1137
401,37.040001,1193
402,39.919998,1216
403,42.98,1284
404,50,1247
405,46.040001,1087
406,37.939999,1213
407,42.98,1319
408,33.080002,1145
409,46.040001,1198
410,42.080002,1380
411,42.080002,1222
412,39.02,1025
413,50,1201
414,46.040001,1153
415,53.959999,1221
416,33.98,1229
417,37.939999,1261
418,48.02,1249
419,60.98,1197
420,51.98,1189
421,32,1082
422,24.98,1178
423,30.92,1171
424,32,1463
425,33.98,1069
426,21.02,907
427,19.040001,950
428,33.080002,1092
429,42.98,1213
430,37.939999,1210
431,64.040001,1448
432,62.959999,1205
433,28.040001,1058
434,44.060001,1282
435,53.060001,1261
436,59,1400
437,62.959999,1427
438,59,1473
439,41,1232
440,41,1116
441,46.939999,1244
442,48.02,1217
443,46.040001,1271
444,39.02,1147
445,37.040001,1203
446,51.080002,1201
447,41,1204
448,30.92,1100
449,37.939999,1203
450,48.02,1323
451,50,1412
452,44.959999,1229
453,50,1307
454,46.939999,1109
455,41,1459
456,44.060001,1254
457,39.919998,1284
458,37.040001,1330
459,41,1521
460,44.060001,1340
461,48.919998,1087
462,51.98,1182
463,51.080002,1328
464,64.040001,1455
465,75.019997,1420
466,66.919998,1351
467,62.060001,1310
468,77,1272
469,87.980003,1465
470,87.080002,1310
471,84.919998,1320
472,89.059998,1332
473,68,1344
474,48.02,1306
475,42.080002,1095
476,42.98,1184
477,60.080002,1304
478,73.040001,1283
479,53.959999,1304
480,53.060001,1386
481,53.959999,1255
482,59,1126
483,60.98,1464
484,60.080002,1329
485,62.959999,1427
486,53.060001,1247
487,53.060001,1299
488,69.080002,1293
489,69.080002,1251
490,75.019997,1256
491,68,1291
492,64.940002,1383
493,68,1369
494,66.019997,1511
495,57.02,1243
496,50,1150
497,55.939999,1379
498,64.040001,1429
499,75.019997,1507
500,66.019997,1256
501,44.959999,1413
502,53.959999,1342
503,53.959999,1235
504,48.02,1361
505,57.919998,1363
506,68,1305
507,71.959999,1529
508,64.040001,1450
509,57.02,1351
510,73.040001,1284
511,78.080002,1279
512,78.080002,1489
513,82.940002,1437
514,84.919998,1501
515,86,1546
516,91.940002,1695
517,71.059998,1413
518,69.980003,1330
519,69.980003,1304
520,64.940002,1338
521,66.019997,1460
522,77,1418
523,82.040001,1327
524,87.080002,1322
525,87.980003,1369
526,82.940002,1453
527,69.980003,1502
528,64.040001,1341
529,66.919998,1360
530,78.080002,1462
531,77,1374
532,77,1391
533,84.019997,1415
534,84.919998,1339
